battery_level,qos_level,transmission_frequency,packet_delay,packet_loss_rate,message_size,power_consumption_rate,critical_status
64.90142459033697,0,1.2874103735553246,42.857008309357255,18.526477559652793,1000,1.1950929540081252,Critical
45.85207096486446,0,0.9032778065112973,24.54469931529137,21.89311178868813,712,0.6967984560831366,Critical
69.43065614302077,1,2.1283342006696784,127.94552324589313,33.82750971926416,254,0.8557448463904824,Critical
95.69089569224076,1,4.818006998756361,52.28205566027064,46.04493989406266,996,5.03179672032163,Critical
42.97539875829992,0,0.36782868624348014,81.32037272717838,30.110227435041075,205,0.15638171151446054,Critical
42.97589129152458,2,1.8076377155389631,39.68863844880447,24.097964885512326,932,2.1663795662457836,Critical
97.37638446522175,0,1.4504788793759338,62.20817732225008,4.185941154216503,136,0.29625979881299,Non-Critical
73.02304187458726,0,2.8209453553346466,104.31998261947837,64.9237693775418,903,2.551834732622934,Critical
35.91576842195144,1,1.955326725692434,108.01355829709345,28.107209061793668,230,0.7276327896486253,Critical
66.27680130757894,1,0.9034130003543198,33.8720243623097,29.134280698889402,231,0.4251285776974791,Critical
36.097469215626134,1,1.2773106992206726,78.23816280650107,54.629261179066624,629,1.0425604470033256,Critical
36.028107392892295,1,0.8721265971064845,40.296882912011775,18.96896141594288,322,0.7859958962601507,Critical
57.25886814698102,0,3.8993337721103427,76.02108021041964,24.859690389605777,502,1.9816256059579587,Critical
0.0,1,1.677071837672412,48.672226882542056,43.922108988887906,174,0.34203450647466305,Critical
0.0,0,7.545508975573303,266.4233088125084,46.36069255533359,807,6.069483825535892,Critical
33.13137412277082,1,1.5706214184020106,147.70809006539207,26.725772699452076,736,1.3249247883796527,Critical
19.615066389967286,0,0.9354520285464216,111.4250440151767,28.19303733536357,927,0.8406846702870715,Critical
59.427419977858214,1,0.4911667901372569,66.59663987187906,56.927302280789945,902,0.7383766873291022,Critical
22.759277734363675,0,0.3896479105806576,150.65886782534673,22.367008867922618,594,0.3445099986513136,Critical
7.630888959941252,1,0.46426082845341654,79.99620459832752,23.061271313703678,353,0.35332054817431635,Critical
93.96946306764661,0,2.041533662635733,248.8310421583082,35.31544202561912,625,1.1367711042954411,Critical
43.22671098540393,1,2.4768312429749826,161.07220425300878,23.214236376262242,573,1.6291338597429759,Critical
52.02584614063772,0,0.4653560061831041,61.843576660371724,23.843899928388844,238,0.05641585526201206,Critical
7.257554413596296,0,3.3737694527976934,230.40375782879835,36.52633211887469,365,1.2524663216682899,Critical
33.66851826424452,0,1.1202491978667084,66.86885409087034,41.33211757037022,759,0.8381729519618405,Critical
53.32767769129598,0,1.8541649066261054,276.5769714619643,14.127774994692722,248,0.5814686586833828,Critical
15.470192677330914,1,5.988113988934128,238.51700332057808,27.89410612672031,402,2.634702628197909,Critical
61.270940550370156,0,3.378633888156151,103.90943580122065,47.70180100982217,573,1.881938053491325,Critical
31.98083930243585,2,1.329995397465387,18.76705699514082,36.1797462056256,882,1.434502715826087,Critical
